"symbol","date","close","high","low","open","row_key","symbol_timestamp","time","timestamp","volume"
"JNJ2025-11-17_17-01-57.csv","2025-10-19","481.64","485.49","478","480.31","2025-10-19_0","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","8428660"
"JNJ2025-11-17_17-01-57.csv","2025-10-20","474.67","475.92","466.75","474.74","2025-10-20_1","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","9168419"
"JNJ2025-11-17_17-01-57.csv","2025-10-21","471.2","487.31","468.36","478.61","2025-10-21_2","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","8540330"
"JNJ2025-11-17_17-01-57.csv","2025-10-22","474.89","483.46","470.66","472.56","2025-10-22_3","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","5809702"
"JNJ2025-11-17_17-01-57.csv","2025-10-23","465.38","466.7","461.43","464.85","2025-10-23_4","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","6959775"
"JNJ2025-11-17_17-01-57.csv","2025-10-24","457.94","474.31","453.76","467.26","2025-10-24_5","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","7450058"
"JNJ2025-11-17_17-01-57.csv","2025-10-25","476.02","491.23","474.63","481.67","2025-10-25_6","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","4243795"
"JNJ2025-11-17_17-01-57.csv","2025-10-26","480.34","489.2","477.4","483.44","2025-10-26_7","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","1817300"
"JNJ2025-11-17_17-01-57.csv","2025-10-27","489.12","498.62","485.81","493.09","2025-10-27_8","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","8412357"
"JNJ2025-11-17_17-01-57.csv","2025-10-28","498.32","507.53","494.08","502.09","2025-10-28_9","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","2995793"
"JNJ2025-11-17_17-01-57.csv","2025-10-29","496.49","502.81","488.39","489.05","2025-10-29_10","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","2381686"
"JNJ2025-11-17_17-01-57.csv","2025-10-30","483.01","489.59","480.53","489.39","2025-10-30_11","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","3855786"
"JNJ2025-11-17_17-01-57.csv","2025-10-31","497.06","506.88","481.71","488.22","2025-10-31_12","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","7567983"
"JNJ2025-11-17_17-01-57.csv","2025-11-01","494.87","495.41","482.24","491.86","2025-11-01_13","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","2495470"
"JNJ2025-11-17_17-01-57.csv","2025-11-02","482.64","490.41","468.02","475.76","2025-11-02_14","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","9899975"
"JNJ2025-11-17_17-01-57.csv","2025-11-03","473.98","481.7","461.99","470.41","2025-11-03_15","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","3281932"
"JNJ2025-11-17_17-01-57.csv","2025-11-04","470.78","485.42","469.45","477.07","2025-11-04_16","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","2943445"
"JNJ2025-11-17_17-01-57.csv","2025-11-05","476.04","488.83","473.82","484.5","2025-11-05_17","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","1676601"
"JNJ2025-11-17_17-01-57.csv","2025-11-06","478.58","487.58","470.37","484.61","2025-11-06_18","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","5926728"
"JNJ2025-11-17_17-01-57.csv","2025-11-07","493.69","504.09","486.67","499.07","2025-11-07_19","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","3198741"
"JNJ2025-11-17_17-01-57.csv","2025-11-08","489.85","489.85","486.8","486.92","2025-11-08_20","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","3313849"
"JNJ2025-11-17_17-01-57.csv","2025-11-09","489.55","499.17","482.09","488.16","2025-11-09_21","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","4873411"
"JNJ2025-11-17_17-01-57.csv","2025-11-10","483.71","491.66","478.34","479.11","2025-11-10_22","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","1245464"
"JNJ2025-11-17_17-01-57.csv","2025-11-11","482.91","485.84","473.36","478.05","2025-11-11_23","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","3185353"
"JNJ2025-11-17_17-01-57.csv","2025-11-12","476.65","484.11","470.85","476.38","2025-11-12_24","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","3520251"
"JNJ2025-11-17_17-01-57.csv","2025-11-13","472.56","481.76","462.69","466.08","2025-11-13_25","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","4169755"
"JNJ2025-11-17_17-01-57.csv","2025-11-14","457.81","457.93","448.05","450.22","2025-11-14_26","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","7428571"
"JNJ2025-11-17_17-01-57.csv","2025-11-15","450.58","462.71","447","455.47","2025-11-15_27","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","5641580"
"JNJ2025-11-17_17-01-57.csv","2025-11-16","452.99","465.14","449.84","458.7","2025-11-16_28","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","6142175"
"JNJ2025-11-17_17-01-57.csv","2025-11-17","452.93","456.3","444.67","454.5","2025-11-17_29","JNJ2025-11-17_17-01-57.csv_JNJ2025-11-17_17-01-57","","JNJ2025-11-17_17-01-57","2868115"
"INTC2025-11-17_17-01-56.csv","2025-10-19","255.21","260.47","252.31","259.76","2025-10-19_0","INTC2025-11-17_17-01-56.csv_INTC2025-11-17_17-01-56","","INTC2025-11-17_17-01-56","8195755"
"INTC2025-11-17_17-01-56.csv","2025-10-20","264.53","271.07","260.6","267.9","2025-10-20_1","INTC2025-11-17_17-01-56.csv_INTC2025-11-17_17-01-56","","INTC2025-11-17_17-01-56","7825757"
"INTC2025-11-17_17-01-56.csv","2025-10-21","262.96","270.33","262.6","267.97","2025-10-21_2","INTC2025-11-17_17-01-56.csv_INTC2025-11-17_17-01-56","","INTC2025-11-17_17-01-56","7542515"
"INTC2025-11-17_17-01-56.csv","2025-10-22","268.3","272","264.81","270.55","2025-10-22_3","INTC2025-11-17_17-01-56.csv_INTC2025-11-17_17-01-56","","INTC2025-11-17_17-01-56","4836730"
"INTC2025-11-17_17-01-56.csv","2025-10-23","269.23","277.95","267.29","273.57","2025-10-23_4","INTC2025-11-17_17-01-56.csv_INTC2025-11-17_17-01-56","","INTC2025-11-17_17-01-56","5743605"
"INTC2025-11-17_17-01-56.csv","2025-10-24","272.8","274.91","267.56","268.92","2025-10-24_5","INTC2025-11-17_17-01-56.csv_INTC2025-11-17_17-01-56","","INTC2025-11-17_17-01-56","8985613"
"INTC2025-11-17_17-01-56.csv","2025-10-25","269.9","279.17","266.88","273.74","2025-10-25_6","INTC2025-11-17_17-01-56.csv_INTC2025-11-17_17-01-56","","INTC2025-11-17_17-01-56","3305385"
"INTC2025-11-17_17-01-56.csv","2025-10-26","278.25","281.78","272.07","273.45","2025-10-26_7","INTC2025-11-17_17-01-56.csv_INTC2025-11-17_17-01-56","","INTC2025-11-17_17-01-56","6514335"
